# time(s) volume
198.9486 0.2806
199.2969 0.2704
199.6452 0.2808
199.9935 0.2486
200.3185 0.2978
200.6668 0.2808
201.0151 0.2990
201.3634 0.2401
201.7117 0.3205
202.0600 0.2888
202.4083 0.2997
202.7334 0.2762
203.0817 0.2677
203.4300 0.3024
203.7783 0.2983
204.1266 0.3003
204.4749 0.2862
204.8232 0.2932
205.1483 0.3112
205.4966 0.3257
205.8449 0.2929
206.1932 0.2755
206.5415 0.3143
206.8898 0.2932
207.2381 0.2589
207.5632 0.2851
207.9115 0.3157
208.2598 0.3055
208.6081 0.3013
208.9564 0.2550
209.2815 0.2983
209.6298 0.3199
209.9780 0.2788
210.3263 0.2817
210.6746 0.2515
211.0229 0.2867
211.3712 0.2360
211.6963 0.2611
212.0446 0.3024
212.3929 0.2875
212.7412 0.2880
213.0895 0.2686
213.4146 0.3026
213.7629 0.3152
214.1112 0.2964
214.4595 0.2691
214.8078 0.3088
215.1561 0.2249
215.5044 0.3030
215.8295 0.3035
216.1778 0.3162
216.5261 0.3252
216.8744 0.3083
217.2227 0.2948
217.5710 0.3129
217.9193 0.2548
218.2676 0.2820
218.5927 0.3042
218.9410 0.3190
219.2893 0.3141
219.6376 0.3003
219.9859 0.2602
220.3341 0.3108
220.6592 0.2968
221.0075 0.2764
221.3558 0.3077
221.7041 0.2735
222.0524 0.2950
222.4007 0.3298
222.7490 0.3010
223.0973 0.2992
223.4224 0.2722
223.7707 0.2993
224.1190 0.2912
224.4673 0.3044
224.8156 0.2869
225.1639 0.2969
225.4890 0.2691
225.8373 0.3081
226.1856 0.2842
226.5339 0.2866
226.8822 0.2828
227.2305 0.2978
227.5556 0.3066
227.9039 0.2862
228.2522 0.2770
228.6005 0.2938
228.9488 0.2435
229.2971 0.2525
229.6454 0.2571
229.9704 0.3140
230.3187 0.3362
230.6670 0.2890
231.0153 0.3059
231.3636 0.3056
231.7119 0.2662
232.0602 0.2834
232.4085 0.2828
232.7336 0.2970
233.0819 0.2757
233.4302 0.2685
233.7785 0.2695
234.1268 0.3108
234.4751 0.2709
234.8234 0.2844
235.1485 0.2815
235.4968 0.2927
235.8451 0.3054
236.1702 0.2701
236.5185 0.2786
236.8668 0.3105
237.2151 0.2950
237.5634 0.3102
237.9117 0.2557
238.2600 0.2956
238.6083 0.3074
238.9566 0.2594
239.3049 0.2521
239.6299 0.3210
239.9782 0.3012
240.3265 0.2989
240.6516 0.2267
240.9999 0.3036
241.3482 0.3056
241.6965 0.2682
242.0448 0.2566
242.3931 0.3155
242.7414 0.2827
243.0897 0.3027
243.4380 0.2979
243.7863 0.3301
244.1346 0.3026
244.4829 0.2828
244.8080 0.2666
245.1563 0.2959
245.5046 0.2869
245.8529 0.2712
246.1780 0.2587
246.5263 0.3130
246.8746 0.2940
247.2229 0.2824
247.5712 0.3130
247.9195 0.3148
248.2678 0.2982
248.6161 0.3005
248.9644 0.3092
249.2894 0.3105
249.6377 0.3091
249.9860 0.3074
250.3343 0.2801
250.6826 0.3008
251.0309 0.2728
251.3792 0.2709
251.7043 0.2671
252.0526 0.2967
252.4009 0.2848
252.7492 0.2747
253.0975 0.2613
253.4226 0.2977
253.7709 0.2730
254.1192 0.2789
254.4675 0.2812
254.8158 0.2988
255.1641 0.3200
255.5124 0.2695
255.8607 0.2762
256.1858 0.3009
256.5341 0.2654
256.8824 0.2695
257.2307 0.2900
257.5790 0.3166
257.9273 0.2959
258.2756 0.3103
258.6239 0.2443
258.9489 0.3196
259.2972 0.3098
259.6455 0.3082
259.9706 0.3029
260.3189 0.3217
260.6672 0.3240
261.0155 0.3035
261.3638 0.2875
261.7121 0.3292
262.0604 0.3219
262.4087 0.3052
262.7570 0.3110
263.1053 0.2857
263.4536 0.2922
263.8019 0.3091
264.1270 0.3114
264.4521 0.3098
264.8004 0.3139
265.1487 0.2774
265.4970 0.2958
265.8453 0.3235
266.1936 0.3149
266.5419 0.2891
266.8902 0.2967
267.2152 0.3071
267.5635 0.2625
267.9118 0.2947
268.2601 0.2842
268.5852 0.2715
268.9103 0.2167
269.2586 0.2637
269.6069 0.3289
269.9552 0.2782
270.3035 0.2707
270.6518 0.2446
271.0001 0.2611
271.3484 0.2634
271.6967 0.2758
272.0450 0.2529
272.3933 0.2929
272.7416 0.2596
273.0899 0.2618
273.4382 0.2546
273.7865 0.3026
274.1348 0.3553
274.4831 0.3422
274.8314 0.3357
275.1797 0.3200
275.5280 0.2471
275.8763 0.2780
276.2246 0.3095
276.5729 0.3660
276.9212 0.3739
277.2695 0.3565
277.6178 0.3023
277.9893 0.2787
278.3376 0.2570
